.imp,.id,Action,LTRintensity,LTRjustification,LTRrules,LTRyears,Social,ActionxYear
0,5,NA,9,2,1,19.93196301,0,NA
0,155,1,8,5,1,10.65593407,1,10.65593407
0,156,1,9,1,1,24.91495376,1,24.91495376
0,157,1,6,3,1,8.969383355,0,8.969383355
0,158,1,9,1,1,5.979588903,0,5.979588903
0,159,1,5,3,0,6.976187054,0,6.976187054
0,160,1,3,1,1,13.95237411,0,13.95237411
0,161,1,7,1,1,14.94897226,0,14.94897226
0,162,1,4,3,1,15.94557041,0,15.94557041
0,163,1,7,1,1,2.146519093,0,2.146519093
0,164,1,9,5,0,19.93196301,NA,19.93196301
0,165,1,9,2,0,4.753006564,0,4.753006564
0,166,1,9,1,1,6.056250299,1,6.056250299
0,167,1,4,1,0,3.986392602,1,3.986392602
0,168,1,5,3,NA,13.95237411,0,13.95237411
0,169,1,9,1,1,5.979588903,1,5.979588903
0,170,1,9,5,0,6.056250299,0,6.056250299
0,171,1,7,1,0,3.373101433,1,3.373101433
0,172,1,6,3,1,19.93196301,0,19.93196301
0,173,1,7,4,1,2.299841886,0,2.299841886
0,174,1,7,2,1,16.94216856,1,16.94216856
0,175,1,8,4,1,6.43955728,0,6.43955728
0,176,1,5,3,1,9.965981505,1,9.965981505
0,177,1,7,4,1,1.60988932,1,1.60988932
0,178,1,6,4,0,15.94557041,0,15.94557041
0,179,1,1,5,1,4.293038187,0,4.293038187
0,180,1,4,5,1,10.96257966,1,10.96257966
0,181,1,8,NA,0,17.93876671,NA,17.93876671
0,182,1,3,5,0,11.95917781,NA,11.95917781
0,183,1,5,2,0,2.989794452,1,2.989794452
0,184,1,3,1,1,6.976187054,1,6.976187054
0,185,1,1,3,0,12.99410666,0,12.99410666
0,186,1,8,3,1,17.93876671,0,17.93876671
0,187,1,7,2,1,9.965981505,0,9.965981505
0,188,1,3,3,1,14.41234248,0,14.41234248
0,189,1,1,1,0,2.22318049,NA,2.22318049
0,190,1,7,5,0,6.976187054,0,6.976187054
0,191,1,5,5,1,5.979588903,1,5.979588903
0,192,1,9,4,0,9.965981505,0,9.965981505
0,193,1,7,1,1,9.965981505,1,9.965981505
0,194,1,1,4,0,1.993196301,NA,1.993196301
0,195,1,5,1,1,4.982990753,0,4.982990753
0,196,1,5,1,0,4.139715395,1,4.139715395
0,197,1,9,2,1,14.25901969,0,14.25901969
0,198,1,3,1,0,15.94557041,1,15.94557041
0,199,1,7,NA,1,5.979588903,1,5.979588903
0,200,1,7,1,1,6.976187054,0,6.976187054
0,201,1,5,2,1,3.756408414,1,3.756408414
0,202,1,5,3,0,14.94897226,0,14.94897226
0,203,1,7,2,0,19.93196301,0,19.93196301
0,204,1,5,3,1,4.676345168,1,4.676345168
0,205,1,9,1,0,19.31867184,0,19.31867184
0,206,1,5,3,1,23.91835561,0,23.91835561
0,207,1,7,3,1,14.94897226,1,14.94897226
0,208,1,9,5,0,3.83306981,0,3.83306981
0,209,1,7,4,0,6.516218677,0,6.516218677
0,210,1,7,1,1,7.972785204,0,7.972785204
0,211,1,5,5,1,11.57587083,1,11.57587083
0,212,1,3,5,0,4.982990753,0,4.982990753
0,213,1,3,NA,0,3.871400508,0,3.871400508
0,214,1,5,3,1,1.993196301,1,1.993196301
0,215,1,5,3,1,14.25901969,0,14.25901969
0,216,1,7,3,1,39.86392602,1,39.86392602
0,217,1,9,1,1,22.92175746,1,22.92175746
0,218,1,5,1,0,13.95237411,0,13.95237411
0,219,1,1,3,1,2.989794452,0,2.989794452
0,220,1,6,2,1,14.94897226,0,14.94897226
0,221,1,6,1,1,2.989794452,1,2.989794452
0,222,1,7,2,1,11.72919362,0,11.72919362
0,223,1,7,2,1,12.1125006,NA,12.1125006
0,224,1,9,2,1,5.979588903,1,5.979588903
0,225,1,9,2,0,15.56226343,1,15.56226343
0,226,1,8,1,1,9.965981505,1,9.965981505
0,227,1,7,1,1,3.373101433,1,3.373101433
0,228,1,9,3,1,2.376503282,0,2.376503282
0,229,1,5,3,1,2.453164678,1,2.453164678
0,230,1,5,1,1,9.965981505,0,9.965981505
0,231,1,8,3,1,14.94897226,0,14.94897226
0,232,1,9,1,1,15.94557041,1,15.94557041
0,233,1,6,3,1,10.96257966,NA,10.96257966
0,234,1,9,1,1,7.436155431,0,7.436155431
0,235,1,6,3,0,28.90134637,0,28.90134637
0,236,1,9,5,0,38.10071391,0,38.10071391
0,237,1,3,3,0,24.91495376,0,24.91495376
0,238,1,7,2,1,5.44295913,1,5.44295913
0,239,1,6,3,1,19.93196301,0,19.93196301
0,240,1,9,1,1,19.93196301,1,19.93196301
0,241,1,9,1,1,29.89794452,1,29.89794452
0,242,1,7,3,1,33.88433712,0,33.88433712
0,243,1,9,3,1,6.056250299,1,6.056250299
0,244,1,3,4,0,15.79224762,NA,15.79224762
0,245,1,3,1,1,31.89114082,0,31.89114082
0,246,1,9,1,0,19.93196301,0,19.93196301
0,247,1,5,3,1,20.92856116,0,20.92856116
0,248,1,9,1,1,19.93196301,1,19.93196301
0,249,1,5,5,0,14.94897226,0,14.94897226
0,250,1,9,2,1,5.979588903,0,5.979588903
0,251,1,7,3,0,26.90815006,0,26.90815006
0,252,1,5,4,0,13.95237411,0,13.95237411
0,253,1,9,3,1,26.2181975,0,26.2181975
0,254,1,9,3,1,14.94897226,1,14.94897226
